id,text_x,text_top,text_w,text_h,ocr,score
71612,0.1007,0.0,0.8052,0.2737,MINTY THE ASSASSIN,1.3494
71944,0.0,0.0,1.0,0.273,HOW ABOUT AWFUL ALLAN,1.7236
72111,0.0277,0.0224,0.9444,0.362,THE GHOST oF FLIGHT,1.9733
72237,0.0913,0.6859,0.8134,0.3098,MONSTER NIGHT,1.5283
72277,0.1548,0.865,0.6943,0.0657,THE LAST WAVE,0.1919
73142,0.0567,0.6735,0.8598,0.2932,'RE YOU KILLING ME,1.458
73442,0.1314,0.682,0.7285,0.2245,AMERICAN CRIME,0.9653
73519,0.4478,0.6866,0.5522,0.2187,ILL BURY You TOMORROW,0.653
73661,0.0305,0.076,0.9274,0.1179,MUNGER ROAD,0.5868
74110,-1.0,-1.0,-1.0,-1.0,,0.0
74321,0.0796,0.3366,0.8359,0.1793,PLANET OF THE VAMPIRE WOMEN,0.2757
74343,0.2544,0.7569,0.4725,0.1711,DAVID CARRADINE IN Sonny BOY,0.3651
74539,0.163,0.7505,0.7037,0.2054,KILLER MOUNTAIN,0.8403
74715,0.0434,0.7239,0.9471,0.2761,DARK QUEEN,1.5856
75305,0.0,0.4456,1.0,0.3052,DERREN WN BR,0.5954
75738,0.0659,0.056,0.8164,0.2459,HOLOFAUS PSYCHO Three killers. Six innocent people brutal One night of mayhem an,0.9889
76460,0.0346,0.7467,0.9584,0.1477,Doad girl oir Film,0.4572
76467,0.0122,0.0284,0.9341,0.2654,-SHOCK CINEMA MAGAZINE COLON) MUTATION,1.2724
76779,0.54,0.6433,0.4355,0.2331,THE DEAD SCREAM ON'T,0.4679
76790,0.1792,0.5941,0.8176,0.1782,one legend of the raven,0.4395
76810,0.0,0.678,1.0,0.322,EPOCH BLEAK FUTURe NEAR hERe THE END is CINEMA DVD,1.9383
76875,0.1089,0.7743,0.8046,0.1464,GAMES,0.6235
77260,0.0755,0.0112,0.8676,0.1319,THE WIND,0.616
78042,0.0,0.7657,1.0,0.117,NAWIEDZONA POLSKA HAUNTED POLAND,0.6274
78246,-1.0,-1.0,-1.0,-1.0,,0.0
